ID,Outline Level,Task Name,Duration,Start,Finish,Predecessors,Resource Names,Stakeholder,Percent Complete
1,1,Electronic Health Record (EHR) System,,2026-01-20,2026-04-10,,Edgar Tiburcio Gomez Moran,,0
2,2,Fase 1: Análisis,,2026-01-20,2026-02-10,,Edgar Tiburcio Gomez Moran,,0
3,3,Acta de constitución y kick-off del proyecto,3d,2026-01-20,2026-01-22,,Edgar Tiburcio Gomez Moran,,100
4,3,Matriz RACI (roles y responsabilidades),2d,2026-01-23,2026-01-24,3,Edgar Tiburcio Gomez Moran,,100
5,3,Requisitos funcionales,5d,2026-01-27,2026-02-02,4,Edgar Tiburcio Gomez Moran,,100
6,3,Requisitos no funcionales,3d,2026-01-27,2026-01-29,4,Edgar Tiburcio Gomez Moran,,100
7,3,Análisis de riesgos y amenazas,3d,2026-02-03,2026-02-05,5,Edgar Tiburcio Gomez Moran,,100
8,3,Casos de uso e historias de usuario,3d,2026-02-03,2026-02-05,5,Edgar Tiburcio Gomez Moran,,100
9,3,Reglas de negocio y diagrama de flujo de atención,3d,2026-02-06,2026-02-10,7,Edgar Tiburcio Gomez Moran,,100
10,3,Revisión con Stakeholders/Profesores - Fase Análisis,1d,2026-02-10,2026-02-10,"7,8,9",Edgar Tiburcio Gomez Moran,Profesores; Dept. Psicología; Dept. Enfermería; Dirección Académica,100
11,3,Entrega Fase Análisis (documentos y aceptación),1d,2026-02-10,2026-02-10,10,Edgar Tiburcio Gomez Moran,Profesores; Dirección Académica,100
12,2,Fase 2: Diseño,,2026-02-11,2026-02-28,,Edgar Tiburcio Gomez Moran,,0
13,3,Documentación API REST (OpenAPI 3.0),5d,2026-02-11,2026-02-17,11,Edgar Tiburcio Gomez Moran,,100
14,3,Diagrama ER y esquema de base de datos,4d,2026-02-11,2026-02-16,11,Edgar Tiburcio Gomez Moran,,100
15,3,Arquitectura del sistema (diseño detallado),3d,2026-02-18,2026-02-20,"13,14",Edgar Tiburcio Gomez Moran,,100
16,3,Wireframes pantallas principales,5d,2026-02-11,2026-02-17,11,Juan Enrique Castillo Ontiveros; Orlando de Jesús Casas Dávila,,100
17,3,Wireframes pantallas restantes,4d,2026-02-18,2026-02-23,16,Juan Enrique Castillo Ontiveros; Orlando de Jesús Casas Dávila,,0
18,3,Mockups de alta fidelidad,4d,2026-02-18,2026-02-23,16,Juan Enrique Castillo Ontiveros; Orlando de Jesús Casas Dávila,,80
19,3,Design system y guía de estilos,4d,2026-02-19,2026-02-24,15,Juan Enrique Castillo Ontiveros; Orlando de Jesús Casas Dávila,,100
20,3,Documento Esquema Web Services y Autenticación,2d,2026-02-18,2026-02-19,13,Edgar Tiburcio Gomez Moran,,100
21,3,Plan de Trabajo (MS Project) y estimación,2d,2026-02-24,2026-02-25,15,Edgar Tiburcio Gomez Moran,,100
22,3,Revisión con Stakeholders/Profesores - Fase Diseño,2d,2026-02-26,2026-02-27,"17,18,19,21",Edgar Tiburcio Gomez Moran,Profesores; Stakeholders EHR,0
23,3,Entrega Fase Diseño (documentos y aprobación),1d,2026-02-28,2026-02-28,22,Edgar Tiburcio Gomez Moran,Profesores; Dirección Académica,0
24,2,Fase 3: Desarrollo,,2026-03-02,2026-04-02,,Edgar Tiburcio Gomez Moran,,0
